feature,n_original,n_deconvolved,median_original,median_deconvolved,mean_original,mean_deconvolved,ks_statistic,ks_pvalue,mw_pvalue
volume_voxels,120,122,1712.0,1532.0,2236.625,2079.688524590164,0.09193989071038251,0.6413971331954758,0.3155188629321841
solidity,120,122,0.8864920853936726,0.8745152032268073,0.8420231500001959,0.8479554455781476,0.0907103825136612,0.651833546916033,0.9166243420822401
extent,120,122,0.42252463719855027,0.42401244588744585,0.4039009490410473,0.4066542409416166,0.0680327868852459,0.917657265036196,0.9567917403525856
equivalent_diameter,120,122,14.842308329764144,14.302723132978585,15.025671205173188,14.53674511595529,0.09193989071038251,0.6413971331954758,0.3155188629321841
shape_major_axis,120,122,18.581629655352465,17.770500104321382,19.06998212488556,18.207646130410254,0.09904371584699453,0.5440828318082578,0.27247772319431496
shape_intermediate_axis,120,122,17.173993332687992,16.40741154015531,17.67637080155727,16.797255576118364,0.11420765027322405,0.3652750433042354,0.2401899667390608
shape_minor_axis,120,122,13.43433057423363,13.120086784906086,13.390662534737253,13.007428240209236,0.08975409836065573,0.6607501738790417,0.38449999098235055
aspect_ratio,120,122,1.3944548857652985,1.374446240075808,1.4253129640275035,1.404249310728039,0.08114754098360656,0.7717386507798757,0.4356022447423983
bbox_z_length,120,122,19.0,18.0,20.15,18.83606557377049,0.08005464480874316,0.7870644938089352,0.2517112032477601
bbox_y_length,120,122,16.0,16.0,15.933333333333334,15.491803278688524,0.047540983606557376,0.9973495230387515,0.5484664067947039
bbox_x_length,120,122,15.0,15.0,15.466666666666667,15.040983606557377,0.043989071038251365,0.9992158063507216,0.5682793727398949
